date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:57	833/833	---M-Z	200	added ('OK')	application/rss+xml	etag:%2265b80e3d161429a101f69daa8faf0eea-gzip%22	http://dasta.in/dec-2014-report-2/feed/	/home/ajith/websites/dasta2/dasta.in/dec-2014-report-2/feed/index.html	(from http://dasta.in/dec-2014-report-2/)
19:15:09	82038/82038	---M--	200	added ('OK')	image/jpeg	etag:%2214076-50d1584150e40%22	http://dasta.in/wp-content/uploads/2015/01/Past-comparison-Jan-2014.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Past-comparison-Jan-2014.jpg	(from http://dasta.in/dec-2014-report-2/)
19:15:15	198162/198162	---M--	200	added ('OK')	image/jpeg	etag:%2230612-50d1465fade40%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_25_web-1024x975.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_25_web-1024x975.jpg	(from http://dasta.in/dec-2014-report-2/)
19:15:45	203636/203636	---M--	200	added ('OK')	image/jpeg	etag:%2231b74-50d14ad25dcc0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_28-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_28-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:16:23	216335/216335	---M--	200	added ('OK')	image/jpeg	etag:%2234d0f-50d14b7389900%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_27-969x1024.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_27-969x1024.jpg	(from http://dasta.in/dec-2014-report-2/)
19:16:25	671865/671865	---M--	200	added ('OK')	image/jpeg	etag:%22a4079-50d14661962c0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_25_web.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_25_web.jpg	(from http://dasta.in/dec-2014-report-2/)
19:17:01	219164/219164	---M--	200	added ('OK')	image/jpeg	etag:%223581c-50d14bbee0ac0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_26-908x1024.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_26-908x1024.jpg	(from http://dasta.in/dec-2014-report-2/)
19:17:22	878364/878364	---M--	200	added ('OK')	image/jpeg	etag:%22d671c-50d14ad446140%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_28.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_28.jpg	(from http://dasta.in/dec-2014-report-2/)
19:18:08	1024460/1024460	---M--	200	added ('OK')	image/jpeg	etag:%22fa1cc-50d14b7571d80%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_27.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_27.jpg	(from http://dasta.in/dec-2014-report-2/)
19:18:10	260931/260931	---M--	200	added ('OK')	image/jpeg	etag:%223fb43-50d14c6b7e200%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_24-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_24-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:18:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jun%202020%2013:48:10%20GMT	http://dasta.in/?p=3755	/home/ajith/websites/dasta2/dasta.in/index8ba5.html	(from http://dasta.in/dec-2014-report-2/)
19:18:53	240405/240405	---M--	200	added ('OK')	image/jpeg	etag:%223ab15-50d14ce0cb6c0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_23-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_23-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:19:21	1058884/1058884	---M--	200	added ('OK')	image/jpeg	etag:%22102844-50d14bc1bd180%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_26.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_26.jpg	(from http://dasta.in/dec-2014-report-2/)
19:19:52	176803/176803	---M--	200	added ('OK')	image/jpeg	etag:%222b2a3-50d14d570cdc0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_21-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_21-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:20:32	1252598/1252598	---M--	200	added ('OK')	image/jpeg	etag:%22131cf6-50d14c6d66680%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_24.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_24.jpg	(from http://dasta.in/dec-2014-report-2/)
19:20:51	102158/102158	---M--	200	added ('OK')	image/jpeg	etag:%2218f0e-50d14d87b0080%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_18-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_18-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:21:01	1037477/1037477	---M--	200	added ('OK')	image/jpeg	etag:%22fd4a5-50d14ce3a7d80%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_23.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_23.jpg	(from http://dasta.in/dec-2014-report-2/)
19:21:03	426516/426516	---M--	200	added ('OK')	image/jpeg	etag:%2268214-50d14d88a42c0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_18.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_18.jpg	(from http://dasta.in/dec-2014-report-2/)
19:21:06	807335/807335	---M--	200	added ('OK')	image/jpeg	etag:%22c51a7-50d14d58f5240%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_21.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_21.jpg	(from http://dasta.in/dec-2014-report-2/)
19:21:39	226575/226575	---M--	200	added ('OK')	image/jpeg	etag:%223750f-50d14dc1dc9c0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_17-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_17-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:21:44	222779/222779	---M--	200	added ('OK')	image/jpeg	etag:%223663b-50d14debd2cc0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_13-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_13-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:22:19	198406/198406	---M--	200	added ('OK')	image/jpeg	etag:%2230706-50d14e18a5680%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_12-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_12-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:23:38	1011129/1011129	---M--	200	added ('OK')	image/jpeg	etag:%22f6db9-50d14dc3c4e40%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_17.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_17.jpg	(from http://dasta.in/dec-2014-report-2/)
19:23:45	972258/972258	---M--	200	added ('OK')	image/jpeg	etag:%22ed5e2-50d14dedbb140%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_13.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_13.jpg	(from http://dasta.in/dec-2014-report-2/)
19:24:08	161939/161939	---M--	200	added ('OK')	image/jpeg	etag:%2227893-50d14e47604c0%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_7-1024x682.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_7-1024x682.jpg	(from http://dasta.in/dec-2014-report-2/)
19:24:17	935855/935855	---M--	200	added ('OK')	image/jpeg	etag:%22e47af-50d14e1a8db00%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_12.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_12.jpg	(from http://dasta.in/dec-2014-report-2/)
19:24:25	737635/737635	---M--	200	added ('OK')	image/jpeg	etag:%22b4163-50d14e4948940%22	http://dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_7.jpg	/home/ajith/websites/dasta2/dasta.in/wp-content/uploads/2015/01/Dasta_Concerto13.01.15_7.jpg	(from http://dasta.in/dec-2014-report-2/)
